t,ndyag,rogowsky,oscillator
6.89E-07,0.063241109,-1.8498024,0.0096245063
6.90E-07,-0.015810277,-1.8498024,0.0095256921
6.90E-07,0.023715414,-1.770751,0.0093280636
6.91E-07,0.023715414,-1.770751,0.0094268778
6.91E-07,0.0039525693,-1.6126482,0.0097233206
6.91E-07,0.043478262,-1.770751,0.0094268778
6.92E-07,0.0039525693,-1.6126482,0.0097233206
6.92E-07,0.023715414,-1.6126482,0.0090316208
6.93E-07,0.043478262,-1.770751,0.0093280636
6.93E-07,0.023715414,-1.6126482,0.0092292493
6.93E-07,0.043478262,-1.6916996,0.0093280636
6.94E-07,0.063241109,-1.6126482,0.0098221339
6.94E-07,0.0039525693,-1.5335969,0.0094268778
6.95E-07,0.023715414,-1.770751,0.0093280636
6.95E-07,0.023715414,-1.6916996,0.0093280636
6.95E-07,0.043478262,-1.6126482,0.0089328066
6.96E-07,0.043478262,-1.6126482,0.0094268778
6.96E-07,0.0039525693,-1.8498024,0.0092292493
6.97E-07,0.023715414,-1.6916996,0.0092292493
6.97E-07,0.043478262,-1.6126482,0.0093280636
6.97E-07,0.043478262,-1.770751,0.0090316208
6.98E-07,0.023715414,-1.5335969,0.0092292493
6.98E-07,0.023715414,-1.6126482,0.0090316208
6.99E-07,0.0039525693,-1.6126482,0.0090316208
6.99E-07,0.023715414,-1.6126482,0.0091304351
6.99E-07,0.043478262,-1.4545455,0.0098221339
7.00E-07,0.043478262,-1.4545455,0.0092292493
7.00E-07,0.023715414,-1.6916996,0.0093280636
7.01E-07,0.023715414,-1.5335969,0.0093280636
7.01E-07,0.0039525693,-1.4545455,0.0093280636
7.01E-07,-0.015810277,-1.6916996,0.0096245063
7.02E-07,0.0039525693,-1.4545455,0.0092292493
7.02E-07,0.023715414,-1.4545455,0.0095256921
7.03E-07,0.023715414,-1.5335969,0.0096245063
7.03E-07,0.043478262,-1.4545455,0.0095256921
7.03E-07,0.023715414,-1.5335969,0.0091304351
7.04E-07,0.043478262,-1.5335969,0.0090316208
7.04E-07,0.0039525693,-1.6916996,0.0090316208
7.05E-07,0.023715414,-1.6126482,0.0093280636
7.05E-07,0.0039525693,-1.6126482,0.0097233206
7.05E-07,0.023715414,-1.5335969,0.0089328066
7.06E-07,0.023715414,-1.6126482,0.0089328066
7.06E-07,0.023715414,-1.6126482,0.0091304351
7.07E-07,0.0039525693,-1.4545455,0.0093280636
7.07E-07,0.043478262,-1.3754941,0.0091304351
7.07E-07,0.023715414,-1.5335969,0.0089328066
7.08E-07,0.043478262,-1.4545455,0.0089328066
7.08E-07,0.023715414,-1.5335969,0.0095256921
7.09E-07,0.043478262,-1.4545455,0.0091304351
7.09E-07,0.023715414,-1.5335969,0.0088339923
7.09E-07,0.023715414,-1.4545455,0.0091304351
7.10E-07,0.043478262,-1.5335969,0.0090316208
7.10E-07,0.043478262,-1.2964427,0.008735178
7.11E-07,0.043478262,-1.2964427,0.0090316208
7.11E-07,0.043478262,-1.4545455,0.008735178
7.11E-07,0.023715414,-1.3754941,0.0089328066
7.12E-07,0.043478262,-1.3754941,0.0090316208
7.12E-07,0.043478262,-1.2964427,0.0085375495
7.13E-07,0.023715414,-1.3754941,0.0092292493
7.13E-07,0.043478262,-1.4545455,0.0094268778
7.13E-07,0.023715414,-1.5335969,0.0092292493
7.14E-07,0.063241109,-1.3754941,0.0088339923
7.14E-07,0.023715414,-1.2964427,0.0093280636
7.15E-07,0.023715414,-1.4545455,0.0090316208
7.15E-07,0.043478262,-1.2964427,0.0088339923
7.15E-07,0.023715414,-1.4545455,0.0090316208
7.16E-07,0.0039525693,-1.4545455,0.0089328066
7.16E-07,0.0039525693,-1.4545455,0.0089328066
7.17E-07,0.043478262,-1.3754941,0.0085375495
7.17E-07,0.043478262,-1.5335969,0.0089328066
7.17E-07,0.023715414,-1.3754941,0.0091304351
7.18E-07,0.023715414,-1.3754941,0.008735178
7.18E-07,0.023715414,-1.2173913,0.0090316208
7.19E-07,0.043478262,-1.2173913,0.0090316208
7.19E-07,0.023715414,-1.4545455,0.0091304351
7.19E-07,0.043478262,-1.3754941,0.0089328066
7.20E-07,0.043478262,-1.2964427,0.0089328066
7.20E-07,0.023715414,-1.4545455,0.0090316208
7.21E-07,0.043478262,-1.2964427,0.0093280636
7.21E-07,0.043478262,-1.3754941,0.0085375495
7.21E-07,0.0039525693,-1.5335969,0.0089328066
7.22E-07,0.023715414,-1.2964427,0.0088339923
7.22E-07,0.043478262,-1.0592885,0.0086363638
7.23E-07,0.023715414,-1.2964427,0.008339921
7.23E-07,0.043478262,-1.1383399,0.0089328066
7.23E-07,0.043478262,-1.2173913,0.0089328066
7.24E-07,0.043478262,-1.1383399,0.0089328066
7.24E-07,0.043478262,-1.2964427,0.008735178
7.25E-07,0.043478262,-1.3754941,0.008735178
7.25E-07,0.0039525693,-1.2173913,0.0089328066
7.25E-07,0.023715414,-1.2964427,0.008735178
7.26E-07,0.023715414,-1.2964427,0.0089328066
7.26E-07,0.023715414,-1.2964427,0.0088339923
7.27E-07,0.063241109,-1.2173913,0.008735178
7.27E-07,0.023715414,-1.1383399,0.0089328066
7.27E-07,0.083003953,-1.2173913,0.008339921
7.28E-07,0.083003953,-1.2173913,0.0091304351
7.28E-07,0.043478262,-1.2173913,0.0086363638
7.29E-07,0.043478262,-1.2173913,0.0086363638
7.29E-07,0.083003953,-1.0592885,0.008735178
7.29E-07,0.023715414,-1.2173913,0.0088339923
7.30E-07,0.043478262,-1.1383399,0.0090316208
7.30E-07,0.063241109,-0.98023713,0.008735178
7.31E-07,0.043478262,-1.2964427,0.0090316208
7.31E-07,0.063241109,-1.1383399,0.008735178
7.31E-07,0.043478262,-1.0592885,0.0081422925
7.32E-07,0.023715414,-1.2173913,0.0091304351
7.32E-07,0.023715414,-1.1383399,0.008735178
7.33E-07,0.023715414,-1.2964427,0.0088339923
7.33E-07,0.043478262,-1.0592885,0.0085375495
7.33E-07,0.043478262,-1.2173913,0.008339921
7.34E-07,0.023715414,-1.1383399,0.0089328066
7.34E-07,0.043478262,-1.3754941,0.0086363638
7.35E-07,0.023715414,-1.2964427,0.0085375495
7.35E-07,0.023715414,-0.98023713,0.0085375495
7.35E-07,0.043478262,-0.98023713,0.008735178
7.36E-07,0.043478262,-1.0592885,0.0085375495
7.36E-07,0.043478262,-1.1383399,0.0085375495
7.37E-07,0.023715414,-1.0592885,0.0084387353
7.37E-07,0.043478262,-1.1383399,0.0081422925
7.37E-07,0.043478262,-1.0592885,0.0089328066
7.38E-07,0.063241109,-0.98023713,0.0082411068
7.38E-07,0.023715414,-1.1383399,0.0086363638
7.39E-07,0.043478262,-1.1383399,0.008339921
7.39E-07,0.063241109,-1.0592885,0.008735178
7.39E-07,0.023715414,-1.0592885,0.0086363638
7.40E-07,0.0039525693,-1.0592885,0.0084387353
7.40E-07,0.043478262,-1.2964427,0.0088339923
7.41E-07,0.023715414,-0.98023713,0.0084387353
7.41E-07,0.0039525693,-1.0592885,0.0081422925
7.41E-07,0.023715414,-1.1383399,0.0085375495
7.42E-07,0.043478262,-1.1383399,0.0089328066
7.42E-07,0.063241109,-0.90118575,0.0086363638
7.43E-07,0.043478262,-0.90118575,0.008735178
7.43E-07,0.063241109,-1.1383399,0.0086363638
7.43E-07,0.043478262,-1.1383399,0.0082411068
7.44E-07,0.023715414,-1.0592885,0.0088339923
7.44E-07,0.083003953,-0.98023713,0.0080434782
7.45E-07,0.023715414,-1.0592885,0.0086363638
7.45E-07,0.043478262,-1.0592885,0.0086363638
7.45E-07,0.023715414,-0.98023713,0.007944664
7.46E-07,0.043478262,-0.98023713,0.008339921
7.46E-07,0.043478262,-0.90118575,0.008339921
7.47E-07,0.0039525693,-1.0592885,0.0084387353
7.47E-07,0.083003953,-0.90118575,0.008339921
7.47E-07,0.043478262,-1.0592885,0.0088339923
7.48E-07,0.043478262,-1.0592885,0.0086363638
7.48E-07,0.023715414,-0.98023713,0.0080434782
7.49E-07,0.063241109,-0.90118575,0.008339921
7.49E-07,0.023715414,-0.90118575,0.0081422925
