t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09
6.12366183091546e-07,0.023208726,-1.6392045,-1.4279891,-1.5335969,-1.5335969,-1.4279891,-1.4279891,-1.4811018,-1.3754941,-1.5335969
6.12966483241621e-07,0.014940688,-1.5335969,-1.5860919,-1.5335969,-1.4279891,-1.4811018,-1.5860919,-1.4811018,-1.4811018,-1.5335969
6.13566783391696e-07,0.023208726,-1.5335969,-1.4279891,-1.3754941,-1.4279891,-1.5335969,-1.5335969,-1.4811018,-1.6916996,-1.4811018
6.14167083541771e-07,0.031573945,-1.4279891,-1.3754941,-1.5335969,-1.5860919,-1.5860919,-1.4811018,-1.5335969,-1.4279891,-1.4279891
6.14767383691846e-07,0.039841908,-1.5860919,-1.4279891,-1.4279891,-1.4279891,-1.5335969,-1.4811018,-1.4811018,-1.5335969,-1.4279891
6.15367683841921e-07,0.039841908,-1.6392045,-1.4279891,-1.5335969,-1.5335969,-1.4811018,-1.7441946,-1.5860919,-1.3754941,-1.6392045
6.15967983991996e-07,0.014940688,-1.3754941,-1.4279891,-1.5335969,-1.322999,-1.4279891,-1.5860919,-1.5335969,-1.5335969,-1.4811018
6.16568284142071e-07,0.014940688,-1.5335969,-1.4811018,-1.4279891,-1.4811018,-1.4811018,-1.4811018,-1.4279891,-1.322999,-1.4279891
6.17168584292146e-07,0.031573945,-1.4811018,-1.3754941,-1.4279891,-1.3754941,-1.4811018,-1.322999,-1.4279891,-1.4279891,-1.5335969
6.17768884442221e-07,0.014940688,-1.3754941,-1.3754941,-1.4811018,-1.5860919,-1.5335969,-1.3754941,-1.4279891,-1.3754941,-1.4279891
6.18369184592296e-07,0.031573945,-1.2173913,-1.3754941,-1.5335969,-1.4279891,-1.3754941,-1.4279891,-1.4279891,-1.3754941,-1.4279891
6.18969484742371e-07,0.056475091,-1.4811018,-1.322999,-1.3754941,-1.3754941,-1.4279891,-1.4811018,-1.4811018,-1.5335969,-1.3754941
6.19569784892446e-07,0.048109871,-1.3754941,-1.3754941,-1.4279891,-1.3754941,-1.4811018,-1.4279891,-1.4811018,-1.4279891,-1.5860919
6.20170085042521e-07,0.023208726,-1.322999,-1.3754941,-1.5860919,-1.5335969,-1.3754941,-1.3754941,-1.3754941,-1.3754941,-1.3754941
6.20770385192596e-07,0.023208726,-1.4811018,-1.4279891,-1.4279891,-1.5335969,-1.4811018,-1.3754941,-1.4811018,-1.3754941,-1.3754941
6.21370685342671e-07,0.014940688,-1.3754941,-1.322999,-1.4811018,-1.3754941,-1.4279891,-1.4279891,-1.4811018,-1.4811018,-1.4279891
6.21970985492746e-07,0.023208726,-1.4279891,-1.3754941,-1.3754941,-1.3754941,-1.3754941,-1.4279891,-1.4279891,-1.3754941,-1.3754941
6.22571285642821e-07,0.056475091,-1.4811018,-1.3754941,-1.2698864,-1.5860919,-1.4279891,-1.4811018,-1.4279891,-1.4279891,-1.3754941
6.23171585792896e-07,0.039841908,-1.5335969,-1.3754941,-1.2698864,-1.3754941,-1.4279891,-1.4279891,-1.3754941,-1.3754941,-1.2698864
6.23771885942971e-07,0.039841908,-1.4279891,-1.4811018,-1.4811018,-1.3754941,-1.3754941,-1.322999,-1.3754941,-1.5335969,-1.4279891
6.24372186093046e-07,0.048109871,-1.2698864,-1.5335969,-1.3754941,-1.322999,-1.322999,-1.3754941,-1.4279891,-1.3754941,-1.4279891
6.24972486243122e-07,0.006672724,-1.322999,-1.3754941,-1.3754941,-1.3754941,-1.322999,-1.3754941,-1.4279891,-1.4811018,-1.2173913
6.25572786393197e-07,0.023208726,-1.322999,-1.3754941,-1.4811018,-1.3754941,-1.2698864,-1.3754941,-1.4811018,-1.4279891,-1.4811018
6.26173086543271e-07,0.031573945,-1.2698864,-1.4279891,-1.2698864,-1.5335969,-1.4279891,-1.3754941,-1.3754941,-1.5860919,-1.4279891
