t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12
-6.54E-08,0.02320872561,-0.0290514,-0.0152714625,-0.0013293,-0.0428313375,-0.0428313375,-0.0013293,0.04017258,-0.0152714625,-0.0290514,-0.0152714625,0.012450585,-0.0013293
-6.48E-08,0.01494068751,-0.0013293,0.012450585,-0.0013293,-0.0428313375,0.026230575,-0.0428313375,-0.0152714625,-0.0152714625,-0.0013293,-0.0290514,-0.0013293,-0.0290514
-6.42E-08,0.02320872561,-0.0152714625,0.04017258,-0.0290514,-0.0013293,-0.0152714625,0.026230575,-0.0428313375,-0.0013293,-0.0290514,-0.0152714625,-0.0013293,-0.0013293
-6.36E-08,0.00667272438,-0.0290514,-0.0152714625,-0.0290514,-0.0290514,0.012450585,0.012450585,-0.0290514,-0.0152714625,0.012450585,-0.0290514,-0.0152714625,-0.0152714625
-6.30E-08,0.01494068751,-0.0290514,0.026230575,-0.0290514,-0.0152714625,0.012450585,-0.0013293,-0.0290514,-0.0290514,0.04017258,-0.0152714625,-0.0152714625,-0.0290514
-6.24E-08,0.02320872561,-0.0013293,-0.0290514,-0.0013293,0.012450585,-0.056773374,-0.0152714625,-0.0152714625,-0.0013293,-0.0152714625,-0.0013293,-0.0013293,-0.0013293
-6.18E-08,0.00667272438,0.012450585,-0.0290514,-0.0290514,-0.0013293,0.012450585,-0.0013293,-0.056773374,-0.0152714625,-0.0152714625,-0.0013293,-0.0013293,-0.0013293
-6.12E-08,0.01494068751,-0.0152714625,-0.0013293,-0.0290514,-0.0013293,0.012450585,-0.0428313375,-0.0013293,-0.0013293,-0.0290514,-0.0428313375,-0.0013293,-0.0013293
-6.06E-08,0.02320872561,0.012450585,-0.0428313375,-0.0152714625,-0.0152714625,0.012450585,-0.0013293,-0.0152714625,-0.0428313375,-0.0013293,-0.0290514,-0.0013293,-0.0428313375
-6.00E-08,0.01494068751,-0.0013293,-0.0152714625,-0.0152714625,-0.0152714625,-0.0290514,0.04017258,0.026230575,-0.0290514,-0.0152714625,-0.0152714625,0.012450585,-0.0013293
-5.94E-08,0.00667272438,0.026230575,-0.056773374,-0.0013293,-0.0290514,-0.0013293,-0.0705533115,-0.0290514,0.012450585,-0.0013293,-0.0290514,-0.0290514,0.012450585
-5.88E-08,0.01494068751,-0.0152714625,0.026230575,-0.0428313375,-0.0152714625,0.012450585,-0.0013293,-0.0428313375,0.06773256,0.012450585,0.04017258,-0.0013293,-0.0428313375
-5.82E-08,0.01494068751,-0.056773374,0.026230575,-0.0152714625,-0.0152714625,-0.0290514,-0.0428313375,0.012450585,-0.0152714625,0.012450585,-0.0013293,0.012450585,-0.0013293
